EventId,EventTemplate,Occurrences
016decae,AppleCamIn::wakeEventHandlerThread,20
82a36227,"ARPT: <*>: wl0: setup_keepalive: Local port: <*>, Remote port: <*>",8
416cc9d8,-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (null) UASuggestedActionType=<*> (null)/(null) opts=(null) when=<*> <*>:<*>:<*> <*> confidence=<*> from=(null)/(null) (UABestAppSuggestionManager.m <*>),14
3428c338,<*>: channel changed to <*>,14
463778d9,ARPT: <*>: AQM agg results 0x8001 len hi/lo: 0x0 <*> BAbitmap(<*>) <*> <*> <*> <*>,7
2b7a1b37,"CCFile::captureLog Received Capture notice id: <*>, reason = <*>:sts:<*>:<*>",20
6a6d7984,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from <*> to <*>,20
75353338,Unrecognized attribute value: t:AbchPersonItemType,8
84c4f4ea,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=<*> Code=<*> ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",12
37c8aee1,"CFPasteboardRef CFPasteboardCreate(CFAllocatorRef, CFStringRef) : failed to create global data",2
0af63e74,<*> : BTLE scanner Powered On,8
5faf7ee1,button report: <*>,20
31588b3d,<*>:<*>:<*> : BTLE discovered device with hash <01faa200 <*> 0000>,1
7de0efa1,"securityd_xpc_dictionary_handler cloudd[<*>] copy_matching Error Domain=NSOSStatusErrorDomain Code=<*> ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}",4
3813df52,Location icon should now be in state <*>,37
3b05ebb2,"ARPT: <*>: wl0: setup_keepalive: interval <*>, retry_interval <*>, retry_count <*>",11
b84885ff,ARPT: <*>: wl0: MDNS: IPV4 Addr: <*>,4
a4d29be8,<*>-[NETClientConnection evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! <*> <*> <*>,10
690bda78,"Setting BTCoex Config: enable_2G:<*>, profile_2g:<*>, enable_5G:<*>, profile_5G:<*>",7
be539377,Captive: [CNInfoNetworkActive:<*>] <*>: SSID 'CalVisitor' making interface primary (cache indicates network not captive),3
209c69a9,-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record.,17
087de08b,<*>:<*>:<*> : Finished generating hashes,1
5b1bfe84,Captive: CNPluginHandler <*>: <*>,15
2538ad1e,tcp_connection_destination_perform_socket_connect <*> connectx to <*> failed: [<*>] Network is down,3
6000d514,AirPort: Link Down on <*>. Reason <*> (Disassociated because station leaving).,5
dc276c61,"USBMSC Identifier (non-unique): <*> 0x5ac 0x8406 0x820, <*>",12
ee8ee29b,CCXPCService::setStreamEventHandler Registered for notification callback.,2
beeeda1e,[<*>:WARNING:dns_config_service_posix.cc(<*>)] Failed to read DnsConfig.,4
b8777a99,Saw change in network reachability (isReachable=<*>),4
e9f3f528,[HID] [ATC] AppleDeviceManagementHIDEventService::processWakeReason Wake reason: Host (0x01),8
cf794e1b,<*>: BSSID changed to <*>:<*>:<*>:<*>:<*>:<*>,16
fe0771c3,dnssd_clientstub ConnectToServer: connect()-> No of tries: <*>,44
9a054d77,-[NETClientConnection effectiveBundleID] using process name <*> as bundle ID (this is expected for daemons without bundle ID,13
e9275986,"RTC: Maintenance <*> <*>:<*>:<*>, sleep <*> <*>:<*>:<*>",5
fee763e5,"<*>: channel changed to <*>,<*>",6
c5de5950,RTC: PowerByCalendarDate setting ignored,11
b8d956b4,<*>: 802.11d country code set to <*>,5
39438e71,"ARPT: <*>: wl0: setup_keepalive: Seq: <*>, Ack: <*>, Win size: <*>",8
43658a65,[HID] [MT] AppleMultitouchDevice::willTerminate entered,3
9815ad44,[BluetoothHIDDeviceController] <*>,3
a4cddf09,PMStats: Hibernate read took <*> ms,1
d161ed18,dnssd_clientstub ConnectToServer: connect() failed path:/var/run/mDNSResponder Socket:<*> Err:<*> Errno:<*> Operation not permitted,13
aeb8ee84,"pages <*>, wire <*>, act <*>, inact <*>, cleaned <*> spec <*>, zf <*>, throt <*>, compr <*>, xpmapped <*>",4
3b5e5eaf,"VDCAssistant:  Found a camera (0x1430000005ac8290) , but was not able to start it up (0x0 -- (os/kern) successful)",1
3391e1c1,handle_will_sleep_auth_and_shield_windows: Reordering authw 0x7fa823a04400(<*>) (lock state: <*>),1
8e347a16,<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSAgentApp(KeystoneThread) runKeystonesInThreadWithArg:] Checking with local engine: <KSUpdateEngine:<*> ticketStore=<KSPersistentTicketStore:<*> store=<KSKeyedPersistentStore:<*> path=<*> lockFile=<KSLockFile:<*> path=<*> locked=<*> > >> processor=<KSActionProcessor:<*> delegate=<KSUpdateEngine:<*> isProcessing=<*> actionsCompleted=<*> progress=<*> errors=<*> currentActionErrors=<*> events=<*> currentActionEvents=<*> actionQueue=( ) > delegate=(null) serverInfoStore=<KSServerPrivateInfoStore:<*> path=<*> errors=<*> >,1
b7844740,-[ISGenerateImageOp generateImageWithCompletion:] Failed to composit image for descriptor <ISBindingImageDescriptor: <*>,20
4d69df78,Error returned from iconservicesagent: (null),13
32614d3a,tcp_connection_tls_session_error_callback_imp <*> <*> error <*>,9
db704461,"SecOSStatusWith error:[<*>] Error Domain=NSOSStatusErrorDomain Code=<*> ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}",5
3d5499b2,send_datagram_available_ping: pid <*> failed to act on a ping it dequeued before timing out.,26
a09edadf,WARNING: Type1 font data isn't in the correct format required by the Adobe Type <*> Font Format specification.,1
487f00c1,"device_generate_desktop_screenshot: authw <*>(<*>), shield <*>(<*>)",3
d8e2131a,[<*>] [Refusing to parse response to PROPPATCH because of content-type: [text/html; charset=UTF-8].],5
f556572f,"NETWORK: requery, <*>, <*>, <*>, <*>, <*>, items, fQueryRetries, <*>, fLastRetryTimestamp, <*>",17
464477c4,Previous sleep cause: <*>,15
2068da72,Wake reason: RTC (Alarm),5
04f0e432,AppleThunderboltNHIType2::prePCIWake - power up complete - took <*> us,15
3357afe1,network changed: v4(<*>:<*>) v6(<*>:<*>:f140:<*>:<*>:<*>:<*>:<*>:<*>) <*> Proxy SMB,8
038257e5,hibernate_page_list_setall found pageCount <*>,2
dc3856c1,[HID] [ATC] [Error] AppleDeviceManagementHIDEventService::start Could not make a string from out connection notification key,2
df811d53,[IOBluetoothFamily][staticBluetoothTransportShowsUp] -- Received Bluetooth Controller register service notification -- 0x7000,1
0bb46ff4,<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSAgentApp updateProductWithProductID:usingEngine:] Checking for updates for <*> using engine <KSUpdateEngine:<*> ticketStore=<KSPersistentTicketStore:<*> store=<KSKeyedPersistentStore:<*> path=<*> lockFile=<KSLockFile:<*> path=<*> locked=<*> processor=<KSActionProcessor:<*> delegate=<KSUpdateEngine:<*> isProcessing=<*> actionsCompleted=<*> progress=<*> errors=<*> currentActionErrors=<*> events=<*> currentActionEvents=<*> actionQueue=( )> delegate=(null) serverInfoStore=<KSServerPrivateInfoStore:<*> path=<*> errors=<*>,1
5785071e,<*> <*>:<*>:<*> | I | VoipWrapper  | DAVEngineImpl.cpp:<*>:Close             | close video chat. llFriendUIN = <*>,4
c86dfdd9,Bluetooth -- LE is supported - Disable LE meta event,11
94ea26ca,<*>:<*>:<*> : Discoverable mode changed to Off,2
2c9efcba,tcp_connection_handle_connect_conditions_bad <*> failed: <*> - No network route,18
4b25a4fe,ARPT: <*>: wl0: setup_keepalive: Local IP: <*>,4
4910963e,TBT W (<*>): 0x0040 [x],4
1fb3ee20,network changed: <*>,4
b5dd3697,ASL Sender Statistics,9
1f0720c4,<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSOutOfProcessFetcher(PrivateMethods) launchedHelperTaskForToolPath:error:] KSOutOfProcessFetcher launched <*> with process id: <*>,1
10f8ebca,"<*> <*>:<*>:<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSUpdateEngine updateAllExceptProduct:] KSUpdateEngine updating all installed products, except:'<*>'.",2
2279e888,<*> ksfetch[<*>] [lvl=<*>] main() ksfetch fetching URL (<*>) to folder:<*>,2
5a95e4ba,"Path not allowed in target domain: type = pid, path = /System/Library/StagedFrameworks/Safari/SafariShared.framework/Versions/A/XPCServices/<*>/Contents/MacOS/<*> error = <*>: The specified service did not ship in the requestor's bundle, origin = /System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/<*>",15
bce4f7be,[<*>:<*>:<*>] <<<< IQ-CA >>>> piqca_setUsePreQueue: (<*>) rejecting report of layer being serviced - IQ has not yet begun to update,4
830fd3c6,[<*>:<*>:<*>] <*> signalled err=<*> (kFigBaseObjectError_Invalidated) (invalidated) at /Library/Caches/<*>/Sources/CoreMedia/<*>/Prototypes/Player/FigPlayer_Async.c line <*>,9
c80980fc,KeychainGetICDPStatus: keychain: <*>,14
160209d7,host connection <NSXPCConnection: 0x7fddbbb015c0> connection from pid <*> invalidated,1
debd10bc,Error in CoreDragRemoveReceiveHandler: <*>,1
d181d4fd,ARPT: <*>: wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.,9
df7d7c2a,in6_unlink_ifa: IPv6 address <*> has no prefix,9
9e7c7f25,"PBRequester failed with Error Error Domain=NSURLErrorDomain Code=<*> ""The request timed out."" UserInfo={NSUnderlyingError=<*> {Error Domain=kCFErrorDomainCFNetwork Code=<*> ""The request timed out."" UserInfo={NSErrorFailingURLStringKey=https:<*>, NSErrorFailingURLKey=https:<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=The request timed out.}}, NSErrorFailingURLStringKey=https:<*>, NSErrorFailingURLKey=https:<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=The request timed out.}",2
03adc34e,"device_generate_lock_screen_screenshot: authw <*>(<*>)[<*>, <*>, <*>, <*>] shield <*>(<*>), dev [<*>,<*>]",3
e2cc2a55,<*> <*>:<*>:<*> ksfetch[<*>] [lvl=<*>] KSHelperReceiveAllData() KSHelperTool read <*> bytes from stdin.,3
c3a49129,[<*>:<*>:<*>] FigAgglomeratorSetObjectForKey signalled err=<*> (kFigStringConformerError_ParamErr) (NULL key) at /Library/Caches/<*>/Sources/CoreMedia/<*>/Prototypes/LegibleOutput/FigAgglomerator.c line <*>,11
2c3a9fce,<*> : BTLE scanner Powered Off,4
1e2c61d0,"PBRequester failed with Error Error Domain=NSURLErrorDomain Code=<*> ""The Internet connection appears to be offline."" UserInfo={NSUnderlyingError=<*> {Error Domain=kCFErrorDomainCFNetwork Code=<*> ""The Internet connection appears to be offline."" UserInfo={NSErrorFailingURLStringKey=https:<*>, NSErrorFailingURLKey=https:<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=The Internet connection appears to be offline.}}, NSErrorFailingURLStringKey=https:<*>, NSErrorFailingURLKey=https:<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=The Internet connection appears to be offline.}",3
3162dd0d,ARPT: <*>: AQM agg params 0xfc0 maxlen hi/lo 0x0 0xffff minlen 0x0 adjlen 0x0,7
3f143fab,Received Capture Event,15
ecfbe11a,[<*>:<*>:<*>] <<<< Boss >>>> figPlaybackBossPrerollCompleted: unexpected preroll-complete notification,23
94349d5a,sigio_handler: sigio_handler_active != <*>,5
42e9195d,############################## _getSysMsgList,10
c90ffe49,"Configuration Notice: ASL Module ""<*>"" claims selected messages. Those messages may not appear in standard system log files or in the ASL database.",2
01e7355d,Wake reason: ?,2
ec97a9c1,<*>:<*>:<*> : Scanning mode Contacts Only,7
694dac99,<*>:<*>:<*> : BTLE scanning stopped,2
b35055fa,wake time set <*> s,3
404af4a7,[HID] [MT] MTActuatorManagement::getActuatorRef Calling MTActuatorOpen() outside of MTTrackpadHIDManager.,1
5d3b8c8e,AppleCamIn::handleWakeEvent_gated,15
296b579e,<*>:<*>:<*> : Purged contact hashes,2
e1dee06b,<*>:<*>:<*> : BTLE scanning started,2
f9fde445,"IOPMrootDomain: idle cancel, state <*>",3
5d1a0c7f,ARPT: <*>: ARPT: Wake Reason: Wake on TCP Timeout,2
a0831220,"hibernate_alloc_pages act <*>, inact <*>, anon <*>, throt <*>, spec <*>, wire <*>, wireinit <*>",2
f2b041a7,hibernate_teardown_pmap_structs done: last_valid_compact_indx <*>,2
5646c4da,enabling pid=<*> for plug-in <*>(<*>) 131FE7ED-87F7-471D-8797-C11107688DF7 /System/Library/CoreServices/Weather.app/Contents/PlugIns/<*>,1
5705e852,<*> <*> [lvl=<*>] -[KSAgentApp performSelfUpdateWithEngine:] Checking for self update with Engine: <KSUpdateEngine:<*> ticketStore=<KSPersistentTicketStore:<*> store=<KSKeyedPersistentStore:<*> path=<*> lockFile=<KSLockFile:<*> path=<*> locked=<*> processor=<KSActionProcessor:<*> delegate=<KSUpdateEngine:<*> isProcessing=<*> actionsCompleted=<*> progress=<*> errors=<*> currentActionErrors=<*> events=<*> currentActionEvents=<*> actionQueue=<*> delegate=<*> serverInfoStore=<KSServerPrivateInfoStore:<*> path=<*> errors=<*>,1
bd4071f4,<*> <*>:<*>:<*> GoogleSoftwareUpdateAgent[33263/0x700000323000] [lvl=<*>] -[KSOmahaServer updateInfosForUpdateResponse:updateRequest:infoStore:upToDateTickets:updatedTickets:events:errors:] Response passed CUP validation.,1
39d2e13c,"Opened file /var/log/SleepWakeStacks.bin, size <*>, extents <*>, maxio <*> ssd <*>",2
970d0ff9,"NETWORK: no response from server, reachability, <*>, queryRetries, <*>",4
db9ca4ea,"Unexpected payload found for message <*>, dataLen <*>",2
4a019d20,CCFile::captureLog,17
6728e0d7,en0: Supported channels <*>,4
03a59c3c,ARPT: <*>: AirPort_Brcm43xx::powerChange: System Wake - Full Wake/ Dark Wake / Maintenance wake,12
49a3bab2,Internal name did not resolve to internal address!,1
58baf72b,Service exited with abnormal code: <*>,1
e8fc3aab,Central manager is not powered on,1
d0663f6a,"CCFile::captureLogRun Skipping current file Dir file [<*>,<*>,<*>]<*>, Current File [<*>,<*>,<*>]<*>",31
2de7c4c6,"CCFile::copyFile fileName is [<*>,<*>,<*>]<*>, source path:<*>[<*>,<*>,<*>]<*>, dest path:/Library/Logs/CrashReporter/CoreCapture/<*>/[<*>,<*>,<*>]=<*>:sts:<*>:<*>[<*>,<*>,<*>]<*>",21
430c9c52,ARPT: <*>: framerdy 0x0 bmccmd <*> framecnt <*>,8
d07514fb,<IMMacNotificationCenterManager: 0x7ff1b2e00ba0>:   DND Enabled: YES,1
466006e2,<*>:<*>:<*> : Starting AirDrop server for user <*> on wake,2
4cfc2469,ARPT: <*>: wl0: setup_keepalive: Remote IP: <*>,8
96315708,"<<<< FigByteStream >>>> FigByteStreamStatsLogOneRead: ByteStream read of <*> bytes @ <*> took <*> <*> to complete, <*> reads >= <*> sec.",3
ea92f231,CCIOReporterFormatter::refreshSubscriptionsFromStreamRegistry clearing out any previous subscriptions,9
7e1070fc,"CCLogTap::profileRemoved, Owner: <*>, Name: <*>",3
ae8131f3,network changed: v6(<*>-:<*>:f140:<*>:<*>:<*>:<*>:<*>:<*>) DNS- Proxy-,2
23f5645d,ARPT: <*>: wlc_dump_aggfifo:,6
77170b64,[<*>:<*>:<*>] <<<< CRABS >>>> crabsFlumeHostUnavailable: [0x7f961cf08cf0] Byte flume reports host unavailable.,2
0ced5cf7,"doSaveChannels@286: Will write to: /Library/Logs/CrashReporter/CoreCapture/IOReporters/[<*>,<*>,<*>] - <*>:sts:<*>:0.xml",6
d30eed8e,tcp_connection_destination_perform_socket_connect <*> connectx to <*> failed: [<*>] Network is unreachable,1
ef5ba147,"[CardDAVPlugin-ERROR] -getPrincipalInfo:[_controller supportsRequestCompressionAtURL:https://13957525385%40163.com@<*>/874161398/principal/] Error Domain=NSURLErrorDomain Code=<*> ""The request timed out."" UserInfo={NSUnderlyingError=0x7f9af3646900 {Error Domain=kCFErrorDomainCFNetwork Code=<*> ""The request timed out."" UserInfo={NSErrorFailingURLStringKey=https://13957525385%40163.com@<*>/874161398/principal/, NSErrorFailingURLKey=https://13957525385%40163.com@<*>/874161398/principal/, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=The request timed out.}}, NSErrorFailingURLStringKey=https://13957525385%40163.com@<*>/874161398/principal/, NSErrorFailingURLKey=https://13957525385%40163.com@<*>/874161398/principal/, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=The request timed out.}",1
b2a94231,hibernate image path: /var/vm/sleepimage,2
c158ae63,hibernate_flush_memory: buffer_cache_gc freed up <*> wired pages,2
c30ee4cb,"hibernate_machine_init pagesDone <*> sum2 <*>, time: <*> ms, disk(0x20000) <*> Mb/s, comp bytes: <*> time: <*> ms <*> Mb/s, crypt bytes: <*> time: <*> ms <*> Mb/s",2
c4f4607f,ASSERTION FAILED: dvcAddrRef != ((void *)<*>) -[DriverServices getDeviceAddress:] line: <*>,4
164db6d5,hibernate_machine_init reading,2
f7b762e3,assertion failed: <*>: <*> + <*> [<*>]: <*>,3
b55176d9,jemmytest,10
2786bf0f,hibernate_setup(<*>) took <*> ms,2
04bb0c62,**** [IOBluetoothFamily][ProcessBluetoothTransportShowsUpActionWL] -- calling IOBluetoothFamily's registerService() -- 0x5fd0 -- 0x9a00 -- <*> ****,2
15e691e2,**** [IOBluetoothFamily][ProcessBluetoothTransportShowsUpActionWL] -- Connected to the transport successfully -- 0x5fd0 -- 0x9a00 -- 0x6800 ****,1
9402eab2,hciControllerOnline; HID devices? <*>,1
c17f6d5d,INIT -- Host controller is published,2
3b7019f3,"polled file major <*>, minor <*>, blocksize <*>, pollers <*>",3
d960bc67,BuildActDeviceEntry exit,2
fb235412,"ARPT: <*>: IOPMPowerSource Information: onSleep,  SleepType: Standby,  'ExternalConnected': No, 'TimeRemaining': <*>,",1
ccdef586,Wake reason: ARPT (Network),3
c26f8a37,AppleActuatorHIDEventDriver: message service is terminated,1
34fcefec,payload Data <*> <*>,1
8efa77b8,WARNING: hibernate_page_list_setall skipped <*> xpmapped pages,2
f04fb2fc,"hibernate_teardown: wired_pages <*>, free_pages <*>, active_pages <*>, inactive_pages <*>, speculative_pages <*>, cleaned_pages <*>, compressor_pages <*>",1
e851fa32,hibernate_rebuild_pmap_structs done: last_valid_compact_indx <*>,1
773e06a3,BuildActDeviceEntry enter,2
d07189b5,(ImportBailout.Error:<*>) Asked to exit for Diskarb,1
df161f8b,<*> <*> [lvl=<*>] -[KSUpdateCheckAction performAction] KSUpdateCheckAction starting update check for ticket(s): {( <KSTicket:<*> productID=<*> version=<*> xc=<KSPathExistenceChecker:<*> path=<*> url=<*> creationDate=<*> ticketVersion=<*> > )} Using server: <KSOmahaServer:<*> engine=<KSUpdateEngine:<*> > >,1
7a123c93,KeychainGetICDPStatus: status: off,8
8e5ee366,ARPT: <*>: AirPort_Brcm43xx::powerChange: System Sleep,17
94286c77,Checking iCDP status for DSID <*> (checkWithServer=<*>),1
9160fee4,network changed: v4(<*>-:<*>) v6(<*>-:<*>:f140:<*>:<*>:c6b3:1ff:fecd:467f) DNS- Proxy-,1
b38046fd,<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] +[KSCodeSigningVerification verifyBundle:applicationId:error:] KSCodeSigningVerification verifying code signing for <*> with the requirement '<*>',1
cefa2916,<*> <*>:<*>:<*> ksfetch[34604/0x7fff79824000] [lvl=<*>] main() ksfetch done fetching.,1
4f5c4bbf,network changed: v4(<*>!:<*>) DNS+ Proxy+ SMB,1
21f8b571,-[SOAPParser:<*> parser:didStartElement:namespaceURI:qualifiedName:attributes:] Type not found in EWSItemType for ExchangePersonIdGuid (t:ExchangePersonIdGuid),4
5a5f25d8,extension <*> -> (null),1
a46813c5,"[Accounts] Current connection, <NSXPCConnection: <*> connection from pid <*>, doesn't have account access.",2
b23e4608,"[Accounts] Failed to update account with identifier 76FE6715-3D27-4F21-AA35-C88C1EA820E8, error: Error Domain=ABAddressBookErrorDomain Code=<*> ""(null)""",2
dcbf6024,Session <*> created,1
c671c8e6,<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSOutOfProcessFetcher(PrivateMethods) helperDidTerminate:] KSOutOfProcessFetcher fetch ended for URL: <*>,3
ee92b1b4,kern_open_file_for_direct_io took <*> ms,1
639bd307,CGXDisplayDidWakeNotification [<*>]: posting kCGSDisplayDidWake,3
dfcdcbbe,Peripheral manager is not powered on,3
377deac2,Cocoa scripting error for <*>: four character codes must be four characters long.,71
b8893af4,.sdef warning for argument '' of command 'can continue previous list' in suite 'Microsoft Word Suite': '4023' is not a valid type name.,1
39197f9d,objc[<*>]: Class <*> is implemented in both /Library/QuickLook/iWork.qlgenerator/Contents/MacOS/iWork and /System/Library/PrivateFrameworks/OfficeImport.framework/Versions/A/OfficeImport. One of the two will be used. Which one is undefined.,2
681abeff,Invalidating watch set.,1
8f7fe76c,<*>:<*>:<*> : Started generating hashes,1
2267459e,-_continuousScroll is deprecated for NSScrollWheel. Please use -hasPreciseScrollingDeltas.,1
3d88db85,-deviceDeltaY is deprecated for NSScrollWheel. Please use -scrollingDeltaY.,1
c44d9ba3,[<*>:<*>:<*>] (Fig) signalled err=<*>,1
dc5e873c,[<*>:<*>:<*>] <<<< CRABS >>>> crabsWaitForLoad: [0x7fbc7ac683a0] Wait time out - <*> (msRequestTimeout <*>),1
d32e1f22,Failed to stop a scan - central is not powered on: <*>,1
e218fc50,Wake reason: EC.SleepTimer (SleepTimer),1
814e9471,**** [BroadcomBluetoothHostControllerUSBTransport][start] -- Completed (matched on Device) -- <*> ****,3
a7db7fa6,"hibernate_newruntime_map time: <*> ms, IOPolledFilePollersOpen(), ml_get_interrupts_enabled <*>",2
c2b4de18,vm_compressor_fastwake_warmup (<*> - <*>) - starting,1
8bb097fb,"<IMMacNotificationCenterManager: 0x7ff1b2e00ba0>: Updating enabled: YES   (Topics: ( ""<*>"", ""<*>"", ""<*>"", ""<*>"", ""<*>"", ""<*>"", ""<*>"", ""<*>"", ""<*>"", ""<*>"", ""<*>"", ""<*>"", ""<*>"", ""<*>"", ""<*>"", ""<*>"" ))",1
2282ae55,<*> <*> [lvl=<*>] main() Fetcher received a request: <NSMutableURLRequest: <*> { URL: <*> },1
a3e3310c,<*> <*>:<*>:<*> GoogleSoftwareUpdateAgent[35861/0x700000323000] [lvl=<*>] -[KSPrefetchAction performAction] KSPrefetchAction no updates to prefetch.,1
f218edba,<IMMacNotificationCenterManager: 0x7fdcc9d16380>: notification observer: <*>   notification: __CFNotification 0x7fdcc9d19110 {name = _NSDoNotDisturbEnabledNotification},1
5722d0e3,CCProfileMonitor::freeResources done,1
1027f321,<IMMacNotificationCenterManager: <*>:    NC Disabled: NO,5
ce960514,<IMMacNotificationCenterManager: <*>:   DND Enabled: NO,2
98709a6a,Daemon connection invalidated!,1
2bdd5b48,IOHibernatePollerOpen(<*>),2
8b1d552e,"hibernate_machine_init: state <*>, image pages <*>, sum was d4e6c0b2, imageSize 0x2aea6000, image1Size 0x215a4000, conflictCount <*>, nextFree <*>",1
592af0db,hibernate_rebuild completed - took <*> msecs,1
743ea632,AppleActuatorDevice::stop Entered,1
fce92548,AppleActuatorDevice::start Entered,1
a6bd52ec,"bitmap_size 0x7f0fc, previewSize 0x4028, writing <*> pages @ 0x97144",2
1a5e9890,<*>: manual intervention required!,1
62fde691,"DB Error: <*> ""no such table: <*>",3
e3ae64d9,<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSOutOfProcessFetcher beginFetchWithDelegate:] KSOutOfProcessFetcher fetching from URL: <*>,1
50813ef0,<IMMacNotificationCenterManager: 0x7fdcc9d16380>: Updating enabled: NO   (Topics: ( )),1
5fd321eb,"arp_client_transmit(<*>) failed, Network is down (<*>)",1
8b905e1d,-[NETClientConnection evaluateCrazyIvan46] CI46 - Perform CrazyIvan46! <*> <*> <*>,5
196e100f,could discard act <*> inact <*> purgeable <*> spec <*> cleaned <*>,2
1c1dc748,"booter start at <*> ms smc <*> ms, [<*>, <*>, <*>] total <*> ms, dsply <*>, <*> ms, tramp <*> ms",1
d65791a7,"hostControllerOnline - Number of Paired devices = <*>, List of Paired devices = ( ""84-41-67-32-db-e1"" )",1
