EventId,EventTemplate,Occurrences
97976721,ciod: Error creating node map from file /home/pakin1/sweep3d-2.2b/results/random1-8x32x32x2.map: Permission denied,1
4b533c96,ciod: Z coordinate <*> exceeds physical dimension <*> at line <*> of node map file /p/gb2/pakin1/contention-32768cpes-torus/xyzt-1x1x32768x1.map,1
1e904a09,"rts: kernel terminated for reason 1001rts: bad message header: invalid cpu, type=<*>, cpu=<*>, index=<*>, total=<*>",1
1ae4a1e2,<*> floating point alignment exceptions,121
2b062444,New ido chip inserted into the database: <*> ip=<*> v=<*> t=<*>,3
12c46e92,NodeCard is not fully functional,1
8b95aa01,"Node card status: ALERT <*>, ALERT <*>, ALERT <*>, ALERT <*> is (are) active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is not asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD is asserted. PGOOD error latch is clear. MPGOOD is OK. MPGOOD error latch is clear. The <*> volt rail is OK. The <*> volt rail is OK.",1
3fd17e58,"Node card VPD check: <*> node in processor card slot <*> do not match. VPD ecid <*>, found <*>",9
3c469b21,"idoproxydb hit ASSERT condition: ASSERT expression=<*> Source file=idotransportmgr.cpp Source line=<*> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",35
72cd2f73,Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The <*> volt rail is OK. The <*> volt rail is OK.,5
93ba1969,"PrepareForService shutting down NodeCard(mLctn(<*>), mCardSernum(<*>), mLp(<*>), mIp(<*>), mType(<*>)) as part of Service Action <*>",1
c42200c4,rts tree/torus link training failed: wanted: B C X+ X- Y+ Y- Z+ Z- got: B C X- Y- Z+ Z-,1
0abbf6c0,<*> tree receiver <*> in re-synch state event(s) (dcr 0x019a) detected,3
31f89fcf,"ciod: Error loading <*>: invalid or missing program image, Exec format error",17
4411f002,ciod: Error reading message prefix after <*> on CioStream socket to <*>: Link has been severed,9
130bb340,rts: kernel terminated for reason <*>,6
11b69b8b,ciod: generated <*> core files for program <*>,30
1b700d02,iar <*> dear <*>,208
6a96ee57,"NFS Mount failed on <*>, slept <*> seconds, retrying (<*>)",2
f80a5ed5,Lustre mount FAILED : <*> : point /p/gb1,9
2355b700,ciod: pollControlDescriptors: Detected the debugger died.,3
2a52c14b,"ciod: In packet from node <*> (R62-M1-Nf-C:J03-U11), message code <*> is not <*> or <*> (softheader=<*>)",1
ea3efa0b,suppressing further interrupts of same type,2
9821da15,rts: bad message header: expecting type <*> instead of type <*> (softheader=00131db8 81aa0003 <*> <*>) PSR0=00001f01 PSR1=<*> PRXF=<*> PIXF=<*>,1
0d17ef00,critical input interrupt (unit=0x0b bit=<*>): warning for torus <*> wire,2
62adcf76,"ciod: Error loading <*>: invalid or missing program image, Permission denied",19
f3eed4bf,data cache search parity error detected. attempting to correct,6
a828f891,shutdown complete,1
f41a7a7f,"Error receiving packet on tree network, expecting type <*> instead of type <*> (softheader=<*>) PSR0=<*> PSR1=<*> PRXF=<*> PIXF=<*>",5
225fe6fb,<*> L3 EDRAM error(s) (dcr <*>) detected and corrected,1
0b7ebc72,"critical input interrupt (unit=0x0b bit=<*>): warning for <*> <*> wire, suppressing further interrupts of same type",3
bbb20c30,<*> torus sender z- retransmission error(s) (dcr 0x02f9) detected and corrected over <*> seconds,2
f9631383,"ciod: Received signal <*>, code=<*>, errno=<*>, address=<*>",16
4f1ef491,Lustre mount FAILED : <*> : block_id : location,2
5a695884,MACHINE CHECK DCR read timeout (mc=e08x iar 0x00000000 lr 0xc00045a4),7
5eeb7c0e,"ciod: Error reading message prefix on CioStream socket to <*>:<*>, Connection timed out",2
69220ebe,"ciod: Error reading message prefix on CioStream socket to <*>:<*>, Connection reset by peer",4
8a5c46f9,dbcr0=0x00000000 dbsr=0x00000000 ccr0=0x40002000,1
cde878c1,"ciod: Error reading message prefix on CioStream socket to <*>, Link has been severed",8
77b17bd0,r24=0x0ffea4c8 r25=0x00000003 r26=0x0000000f r27=0xffffd000,1
f11a9859,<*> tree receiver <*> in re-synch state event(s) (dcr 0x0185) detected over <*> seconds,2
322228ab,<*> microseconds spent in the rbs signal handler during <*> calls. <*> microseconds was the maximum time for a single instance of a correctable ddr.,51
0045c3a8,"<*> total interrupts. <*> critical input interrupts. <*> microseconds total spent on critical input interrupts, <*> microseconds max time in a critical input interrupt.",71
294f9c48,"PrepareForService shutting down Node card(mLctn(<*>), mCardSernum(<*>), mLp(<*>), mIp(<*>), mType(<*>)) as part of Service Action <*>",1
8ddc7b2c,"Kernel detected <*> integer alignment exceptions (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*>",9
8df7ac9e,total of <*> ddr error(s) detected and corrected over <*> seconds,4
de1bc002,minus normalized number..................<*>,1
c8e14b66,fraction rounded.........................<*>,1
fe76344f,size of scratchpad portion of L3.........<*>,1
a77244af,ciod: LOGIN chdir(/p/gb1/stella/RAPTOR/2183) failed: Input/output error,1
01418b1a,<*> L3 EDRAM error(s) (dcr <*>) detected and corrected over <*> seconds,1
c3982115,"ciod: Error loading /g/g24/buber/Yunsic/BlueGene/partad.develf/taddriver.32.exe: program image too big, <*> > <*>",1
1a068bbf,fpr29=0xffffffff ffffffff ffffffff ffffffff,1
6e12673f,Machine State Register: 0x0002f900,1
