EventId,EventTemplate,Occurrences
a48a4202,sda1 sda2 sda3 sda4,1
30c0ff51,Registering secondary module capability,1
eabf7ffa,"i8042 <*> port at 0x60,0x64 irq <*>",2
e7db57c4,syslog-ng startup succeeded,1
df8b1145,syslog-ng version <*> starting,1
481e7ae7,Detected <*> MHz processor.,1
fea49fce,Using <*> MHz HPET timer.,1
e8ca34b7,Using HPET based timekeeping.,1
1a2ac521,Creating Topspin /dev entries:,1
a4430800,registered new driver <*>,4
27f7968c,probe of vesafb0 failed with error <*>,1
3735007d,"connection from ""#28#""",2
6a540f01,"User <*>, coming from <*>, authenticated.",2
b42be2bb,Now running on #29#'s privileges.,2
42c646d7,Mounting NFS filesystems: succeeded,1
14e66fdf,Mounting other filesystems: failed,1
a0d61889,Warning: we failed to resolve data source name <*>,33
cc3d2433,Warning: we failed to resolve data source name dadmin2 dadmin3 dadmin4,1
6ec154ac,RRD_update (/var/lib/ganglia/rrds/unspecified/badmin3/disk_total.rrd): illegal attempt to update using time <*> when last update time is <*> (minimum one second step),1
019bb08c,Warning: we failed to resolve trusted host name dadmin3 dadmin4,1
264d5edd,gmetad startup succeeded,1
9b1751bd,succeeded,2
204e5d52,Server listening on :: port <*>,1
9da1d473,error: Bind to port <*> on <*> failed: Address already in use.,1
712394d8,Cannot open file /dev/logsurfer for writing (No such file or directory),1
79af7456,Changing permissions on special file /dev/logsurfer,1
09f718ce,xinetd startup succeeded,1
43133d54,Reading included configuration file: <*> [file=<*>] [line=<*>],17
194dd7c1,Started working: <*> available service,1
49f6bba5,removing <*>,16
6208f537,xinetd Version <*> started with libwrap loadavg options compiled in.,1
29329e2b,"Device: /dev/sda, Temperature changed <*> Celsius to <*> Celsius since last report",1
